TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
19.15 	Orai. 	
19.15 	TV3 atneš šventę!. Kalėdinė akcija. 	
19.30 	R. Saportos taurės krepšinio rungtynės. Vilniaus Lietuvos rytas - Vloclaveko Anwil. Tiesioginė transliacija iš Vilniaus.	Sportas
21.15 	Lietuvos ryto televizija. Laidos vedėjai Henrikas Vaitiekūnas ir Rimas Bružas.  Laida
22.20 	Mirk už savo svajonę. Omnitel TV žaidimas.	Žaidimas
22.25 	TV3 žinios.  Laida
22.35 	X failai (X-Files). JAV. 1999. Fantastinė drama. VII dalis. 15 s. (T).  Serialas
23.25 	Procesas. X sektorius.  Laida
23.50 	Publicistinė laida. (k.) 	
23.50 	Pabaiga. 	

2001-12-19 - Trečiadienis
06.55 	Programa. 	 	
07.00 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. III dalis. 3, 4 s. (k.)  Vaikams
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 39 s. (k.)  Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 66 s. (k.)  Serialas
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 61 s. (k.)  Serialas
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 12 s. (k.) 	Serialas
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 33 s.  Vaikams
11.10 	Moterų laimė. Žurnalas. (k.)  Laida
11.40 	Kiaušininkė (Olu kundze). Latvija. Dokumentinis filmas.
12.05 	Gillette pasaulio sporto apžvalga. (k.)  Sportas
12.25 	Roberto receptai. Kulinarinė laida. (k.)  Laida
12.50 	Brangioji aš sumažinau vaikus  Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 13 s.  Serialas
14.00 	Laukinė Indonezija (Wild Indonesia). Didžioji Britanija. Dokumentinis filmas. Rež. Mitch Turnbull, Jan Castle. 3 s.	Dokumentinis filmas.
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams
14.45 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. III dalis. 3 s. (k.)  Vaikams
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 9 s.	Vaikams
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 65 s.  Serialas
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 70 s.	Serialas
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.  Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 42 s.	 Serialas
18.45 	TV3 žinios.  Laida
19.05 	TV3 sportas.  Sportas
19.10 	Orai. 	
19.10 	Be tabu. Infošou. Laidos vedėjos Ramunė Pečiulienė ir Greta Šapkaitė.	Laida
19.45 	TV3 atneš šventę!. Kalėdinė akcija.
19.50 	Procesas. X sektorius. Publicistinė laida.
20.25 	Motopatruliai (Die Motorrad Cops - Hart am Limit). Vokietija. 1999-2000. Veiksmo serialas. 14 s.
21.20 	Mentai (Menty-3). Rusija. 2000. Kriminalinė komedija. III dalis. 17 s.	Serialas
22.20 	TV3 žinios.  Laida
22.30 	Angelas (Angel). Japonija, JAV. 1999. Fantastinis veiksmo serialas. 21 s.  Serialas
23.20 	Šapro šou. Humoro laida. (k.) 	Laida
23.45 	Pabaiga. 	

2001-12-20 - Ketvirtadienis
06.55 	Programa. 	
07.00 	Betmenas (Batman). JAV. Nuotykių filmas. II dalis. 58 s. (k.)	Vaikams
07.25 	Be tabu. Infošou. (k.)	Laida
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 40 s. (k.)  Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 67 s. (k.)  Serialas
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 62 s. (k.)  Serialas
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 13 s. (k.) 	Serialas
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 34 s.	Vaikams
11.10 	Šapro šou. Humoro laida. (k.)	Laida
11.40 	VRS kamera. Humoro laida. (k.)  Laida
12.05 	Karalius Hilas (King of the Hill). Animacinė komedija. II dalis. 13 s. (k.)	Vaikams
